substring	\label{definition:Substring}
computational problem	\label{definition:Computational-problem}
valid encoding	\label{definition:Encoding-of-a-set}
word	\label{definition:String-word-empty-string}
string	\label{definition:String-word-empty-string}
language	\label{definition:Language}
encoding	\label{definition:Encoding-of-a-set}
alphabet	\label{definition:Alphabet-symbol-character}
decision problem	\label{definition:Decision-problem}
concatenation of strings	\label{definition:Concatenation-of-strings}
symbols	\label{definition:Alphabet-symbol-character}
star of a language	\label{definition:Star-operation-on-a-language}
power of a string	\label{definition:Powers-of-a-string}
power of a language	\label{definition:Powers-of-a-language}
encodable	\label{definition:Encoding-of-a-set}
characters	\label{definition:Alphabet-symbol-character}
length of a string	\label{definition:Length-of-a-string}
reversal of a language	\label{definition:Reversal-of-a-language}
reversal of a string	\label{definition:Reversal-of-a-string}
concatenation of languages	\label{definition:Concatenation-of-languages}
empty string	\label{definition:String-word-empty-string}
rejecting computation path	\label{definition:Computation-path-for-a-DFA}
set of states of the DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
rejects the string	\label{definition:A-DFA-accepting-a-string}
start state of the DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
accepting computation path	\label{definition:Computation-path-for-a-DFA}
accepts a string	\label{definition:A-DFA-accepting-a-string}
deterministic finite automaton	\label{definition:Deterministic-Finite-Automaton-DFA}
recognized	\label{definition:Language-recognized-accepted-by-a-DFA}
computation path	\label{definition:Computation-path-for-a-DFA}
decided	\label{definition:Language-recognized-accepted-by-a-DFA}
regular language	\label{definition:Regular-language}
transition function of the DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
accepted	\label{definition:Language-recognized-accepted-by-a-DFA}
DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
alphabet of the DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
set of accepting states of the DFA	\label{definition:Deterministic-Finite-Automaton-DFA}
